Economy,Year,Economy Code,"Birth rate, crude (per 1,000 people)"
Afghanistan,2022,AFG,35.143
Albania,2022,ALB,10.116
Algeria,2022,DZA,20.572
American Samoa,2022,ASM,13.800
Andorra,2022,AND,6.200
Angola,2022,AGO,38.200
Antigua and Barbuda,2022,ATG,11.984
Argentina,2022,ARG,13.794
Armenia,2022,ARM,11.700
Aruba,2022,ABW,7.178
Australia,2022,AUS,11.600
Austria,2022,AUT,9.100
Azerbaijan,2022,AZE,12.100
"Bahamas, The",2022,BHS,11.379
Bahrain,2022,BHR,11.454
Bangladesh,2022,BGD,17.480
Barbados,2022,BRB,10.783
Belarus,2022,BLR,9.165
Belgium,2022,BEL,9.800
Belize,2022,BLZ,17.763
Benin,2022,BEN,36.071
Bermuda,2022,BMU,7.500
Bhutan,2022,BTN,12.332
Bolivia,2022,BOL,21.599
Bosnia and Herzegovina,2022,BIH,8.278
Botswana,2022,BWA,23.036
Brazil,2022,BRA,12.649
British Virgin Islands,2022,VGB,7.640
Brunei Darussalam,2022,BRN,13.493
Bulgaria,2022,BGR,8.800
Burkina Faso,2022,BFA,34.952
Burundi,2022,BDI,34.109
Cabo Verde,2022,CPV,16.686
Cambodia,2022,KHM,18.969
Cameroon,2022,CMR,34.352
Canada,2022,CAN,9.000
Cayman Islands,2022,CYM,11.700
Central African Republic,2022,CAF,42.344
Chad,2022,TCD,43.184
Channel Islands,2022,CHI,10.219
Chile,2022,CHL,11.755
China,2022,CHN,6.770
Colombia,2022,COL,13.921
Comoros,2022,COM,28.887
"Congo, Dem. Rep.",2022,COD,41.737
"Congo, Rep.",2022,COG,30.175
Costa Rica,2022,CRI,11.686
Cote d'Ivoire,2022,CIV,33.492
Croatia,2022,HRV,8.800
Cuba,2022,CUB,8.889
Curacao,2022,CUW,8.200
Cyprus,2022,CYP,10.023
Czechia,2022,CZE,9.500
Denmark,2022,DNK,9.900
Djibouti,2022,DJI,21.911
Dominica,2022,DMA,13.278
Dominican Republic,2022,DOM,18.111
Ecuador,2022,ECU,16.583
"Egypt, Arab Rep.",2022,EGY,22.107
El Salvador,2022,SLV,15.803
Equatorial Guinea,2022,GNQ,29.865
Eritrea,2022,ERI,28.426
Estonia,2022,EST,8.600
Eswatini,2022,SWZ,23.642
Ethiopia,2022,ETH,31.835
Faroe Islands,2022,FRO,11.800
Fiji,2022,FJI,19.131
Finland,2022,FIN,8.100
France,2022,FRA,10.600
French Polynesia,2022,PYF,12.550
Gabon,2022,GAB,26.803
"Gambia, The",2022,GMB,32.696
Georgia,2022,GEO,13.099
Germany,2022,DEU,8.800
Ghana,2022,GHA,27.080
Gibraltar,2022,GIB,10.564
Greece,2022,GRC,7.300
Greenland,2022,GRL,13.200
Grenada,2022,GRD,15.616
Guam,2022,GUM,16.374
Guatemala,2022,GTM,20.861
Guinea,2022,GIN,33.855
Guinea-Bissau,2022,GNB,30.611
Guyana,2022,GUY,19.897
Haiti,2022,HTI,23.146
Honduras,2022,HND,20.850
"Hong Kong SAR, China",2022,HKG,4.400
Hungary,2022,HUN,9.300
Iceland,2022,ISL,11.500
India,2022,IND,16.267
Indonesia,2022,IDN,16.196
"Iran, Islamic Rep.",2022,IRN,13.242
Iraq,2022,IRQ,27.035
Ireland,2022,IRL,11.200
Isle of Man,2022,IMN,8.584
Israel,2022,ISR,19.000
Italy,2022,ITA,6.700
Jamaica,2022,JAM,11.531
Japan,2022,JPN,6.300
Jordan,2022,JOR,21.616
Kazakhstan,2022,KAZ,20.570
Kenya,2022,KEN,27.540
Kiribati,2022,KIR,26.723
"Korea, Dem. People's Rep.",2022,PRK,13.058
"Korea, Rep.",2022,KOR,4.900
Kosovo,2022,XKX,11.068
Kuwait,2022,KWT,9.727
Kyrgyz Republic,2022,KGZ,21.500
Lao PDR,2022,LAO,21.460
Latvia,2022,LVA,8.500
Lebanon,2022,LBN,14.576
Lesotho,2022,LSO,25.778
Liberia,2022,LBR,30.996
Libya,2022,LBY,17.298
Liechtenstein,2022,LIE,9.200
Lithuania,2022,LTU,7.800
Luxembourg,2022,LUX,9.900
"Macao SAR, China",2022,MAC,10.044
Madagascar,2022,MDG,30.595
Malawi,2022,MWI,32.611
Malaysia,2022,MYS,15.016
Maldives,2022,MDV,13.638
Mali,2022,MLI,41.217
Malta,2022,MLT,8.100
Marshall Islands,2022,MHL,18.524
Mauritania,2022,MRT,32.953
Mauritius,2022,MUS,9.600
Mexico,2022,MEX,14.636
"Micronesia, Fed. Sts.",2022,FSM,20.684
Moldova,2022,MDA,12.148
Monaco,2018,MCO,5.900
Mongolia,2022,MNG,20.447
Montenegro,2022,MNE,11.400
Morocco,2022,MAR,17.161
Mozambique,2022,MOZ,36.121
Myanmar,2022,MMR,16.833
Namibia,2022,NAM,26.921
Nauru,2022,NRU,26.785
Nepal,2022,NPL,20.165
Netherlands,2022,NLD,9.500
New Caledonia,2022,NCL,14.100
New Zealand,2022,NZL,11.490
Nicaragua,2022,NIC,20.018
Niger,2022,NER,45.029
Nigeria,2022,NGA,36.611
North Macedonia,2022,MKD,9.900
Northern Mariana Islands,2019,MNP,13.200
Norway,2022,NOR,9.400
Oman,2022,OMN,17.706
Pakistan,2022,PAK,27.233
Palau,2022,PLW,8.800
Panama,2022,PAN,17.400
Papua New Guinea,2022,PNG,25.112
Paraguay,2022,PRY,20.328
Peru,2022,PER,17.376
Philippines,2022,PHL,21.618
Poland,2022,POL,8.300
Portugal,2022,PRT,8.000
Puerto Rico,2022,PRI,5.900
Qatar,2022,QAT,9.091
Romania,2022,ROU,9.600
Russian Federation,2022,RUS,8.900
Rwanda,2022,RWA,29.474
Samoa,2022,WSM,26.997
San Marino,2022,SMR,6.100
Sao Tome and Principe,2022,STP,27.974
Saudi Arabia,2022,SAU,16.919
Senegal,2022,SEN,32.067
Serbia,2022,SRB,9.300
Seychelles,2022,SYC,13.100
Sierra Leone,2022,SLE,30.788
Singapore,2022,SGP,7.900
Sint Maarten (Dutch part),2022,SXM,8.100
Slovak Republic,2022,SVK,9.700
Slovenia,2022,SVN,8.300
Solomon Islands,2022,SLB,29.322
Somalia,2022,SOM,43.086
South Africa,2022,ZAF,19.310
South Sudan,2022,SSD,28.857
Spain,2022,ESP,6.900
Sri Lanka,2022,LKA,13.781
St. Kitts and Nevis,2022,KNA,11.823
St. Lucia,2022,LCA,11.316
St. Martin (French part),2022,MAF,14.414
St. Vincent and the Grenadines,2022,VCT,12.726
Sudan,2022,SDN,33.027
Suriname,2022,SUR,17.983
Sweden,2022,SWE,10.000
Switzerland,2022,CHE,9.400
Syrian Arab Republic,2022,SYR,20.531
Tajikistan,2022,TJK,26.025
Tanzania,2022,TZA,35.811
Thailand,2022,THA,8.806
Timor-Leste,2022,TLS,24.611
Togo,2022,TGO,31.480
Tonga,2022,TON,22.894
Trinidad and Tobago,2022,TTO,11.382
Tunisia,2022,TUN,15.600
Turkiye,2022,TUR,14.468
Turkmenistan,2022,TKM,20.755
Turks and Caicos Islands,2022,TCA,12.270
Tuvalu,2022,TUV,23.318
Uganda,2022,UGA,36.215
Ukraine,2022,UKR,7.659
United Arab Emirates,2022,ARE,9.888
United Kingdom,2022,GBR,10.000
United States,2022,USA,11.000
Uruguay,2022,URY,10.419
Uzbekistan,2022,UZB,26.200
Vanuatu,2022,VUT,28.968
"Venezuela, RB",2022,VEN,15.573
Vietnam,2022,VNM,14.689
Virgin Islands (U.S.),2022,VIR,11.600
West Bank and Gaza,2022,PSE,27.690
"Yemen, Rep.",2022,YEM,29.919
Zambia,2022,ZMB,34.127
Zimbabwe,2022,ZWE,30.086