Country,Code,Relative Change
Afghanistan,AFG,-33.22295805739515
Albania,ALB,-78.14880855892366
Algeria,DZA,-62.23375204806116
American Samoa,ASM,-63.241678726483364
Andorra,AND,-48.76893939393939
Angola,AGO,-11.211228556575987
Anguilla,AIA,-78.98628870744108
Antigua and Barbuda,ATG,-69.20374707259953
Argentina,ARG,-52.59165613147915
Armenia,ARM,-65.0489396411093
Aruba,ABW,-72.50729363308734
Australia,AUS,-46.52301665034281
Austria,AUT,-36.95548109143131
Azerbaijan,AZE,-67.09359605911331
Bahamas,BHS,-69.60371928270976
Bahrain,BHR,-74.97942386831275
Bangladesh,BGD,-66.06526513962976
Barbados,BRB,-61.81533646322378
Belarus,BLR,-54.24242424242425
Belgium,BEL,-41.21909633418585
Belize,BLZ,-70.0
Benin,BEN,-20.778994957398716
Bermuda,BMU,-61.26624274260437
Bhutan,BTN,-78.65070093457945
Bolivia,BOL,-58.85963495396543
Bonaire Sint Eustatius and Saba,BES,-74.19411352487737
Bosnia and Herzegovina,BIH,-70.684553166305
Botswana,BWA,-57.50505521854099
Brazil,BRA,-73.55439398889251
British Virgin Islands,VGB,-79.30283224400871
Brunei,BRN,-74.96058477855813
Bulgaria,BGR,-29.532634971796938
Burkina Faso,BFA,-28.10030917210581
Burundi,BDI,-29.539217102412245
Cambodia,KHM,-60.505359877488516
Cameroon,CMR,-24.585587157564124
Canada,CAN,-60.0177830468287
Cape Verde,CPV,-76.57380329382791
Cayman Islands,CYM,-65.05364072129652
Central African Republic,CAF,1.3827993254637412
Chad,TCD,0.956779940613656
Chile,CHL,-75.86848635235732
China,CHN,-82.8143815585756
Colombia,COL,-74.33697347893916
Comoros,COM,-31.797397115722823
Congo,COG,-31.45919208573784
Cook Islands,COK,-69.86442676097849
Costa Rica,CRI,-78.9457020737692
Cote d'Ivoire,CIV,-43.71879106438896
Croatia,HRV,-49.948857824752814
Cuba,CUB,-64.31051587301587
Curacao,CUW,-78.45814093555511
Cyprus,CYP,-64.11779901834151
Czechia,CZE,-48.61603974449965
Democratic Republic of Congo,COD,1.4247401944351317
Denmark,DNK,-41.25194401244168
Djibouti,DJI,-61.75047646972585
Dominica,DMA,-71.65775401069519
Dominican Republic,DOM,-70.12122019448515
East Timor,TLS,-59.01589704769115
Ecuador,ECU,-72.89219330855018
Egypt,EGY,-61.0371209974497
El Salvador,SLV,-71.80749682337994
Equatorial Guinea,GNQ,-28.100775193798444
Eritrea,ERI,-43.06961054891138
Estonia,EST,-40.607127144742634
Eswatini,SWZ,-59.10576351752822
Ethiopia,ETH,-37.99160578268304
Falkland Islands,FLK,-34.102463824794675
Faroe Islands,FRO,-41.757670306812265
Fiji,FJI,-65.00460263884628
Finland,FIN,-59.403742467491284
France,FRA,-44.72175379426644
French Guiana,GUF,-30.927624872579006
French Polynesia,PYF,-72.58447488584476
Gabon,GAB,-7.624113475177309
Gambia,GMB,-36.94317645206988
Georgia,GEO,-39.32282936640966
Germany,DEU,-34.320875113947125
Ghana,GHA,-49.29850746268657
Gibraltar,GIB,-29.604772557792696
Greece,GRC,-48.17404817404817
Greenland,GRL,-65.43166105300479
Grenada,GRD,-71.31558641975309
Guadeloupe,GLP,-62.64306151645207
Guam,GUM,-46.62188099808061
Guatemala,GTM,-66.03468547912993
Guernsey,GGY,-41.49484536082473
Guinea,GIN,-29.37531401775248
Guinea-Bissau,GNB,-35.136963138315856
Guyana,GUY,-58.65615358244772
Haiti,HTI,-57.51079827227643
Honduras,HND,-66.52831704378096
Hong Kong,HKG,-83.14923619271445
Hungary,HUN,-43.17399617590822
Iceland,ISL,-60.04151530877011
India,IND,-65.54431263084439
Indonesia,IDN,-58.36758661186142
Iran,IRN,-75.68149210903873
Iraq,IRQ,-47.596774193548384
Ireland,IRL,-54.30368887617958
Isle of Man,IMN,-35.68757789779809
Israel,ISR,-38.08794574491358
Italy,ITA,-52.51684502576298
Jamaica,JAM,-65.38363497323478
Japan,JPN,-66.58367911479944
Jersey,JEY,-37.02342673403767
Jordan,JOR,-64.54862976894142
Kazakhstan,KAZ,-33.94736842105262
Kenya,KEN,-56.584111517120036
Kiribati,KIR,-48.66231647634584
Kosovo,OWID_KOS,-77.77937580900331
Kuwait,KWT,-78.5664089950808
Kyrgyzstan,KGZ,-39.472546476437536
Laos,LAO,-61.2516005121639
Latvia,LVA,-35.51807228915663
Lebanon,LBN,-61.42980189491818
Lesotho,LSO,-52.7451324329065
Liberia,LBR,-34.17763706048992
Libya,LBY,-66.40034241689257
Liechtenstein,LIE,-43.3259587020649
Lithuania,LTU,-55.73166236638407
Luxembourg,LUX,-28.775510204081634
Macao,MAC,-88.08066258552395
Madagascar,MDG,-46.548243843358904
Malawi,MWI,-46.541617819460726
Malaysia,MYS,-75.89049618914295
Maldives,MDV,-74.52692867540028
Mali,MLI,-18.318056161792526
Malta,MLT,-74.01798390913393
Marshall Islands,MHL,-62.36462093862816
Martinique,MTQ,-63.45279243223576
Mauritania,MRT,-18.891383180797796
Mauritius,MUS,-79.40932470549194
Mayotte,MYT,-32.75058275058275
Mexico,MEX,-71.5307795498584
Micronesia (country),FSM,-58.570782451379465
Moldova,MDA,-50.34423407917383
Monaco,MCO,-31.000654022236755
Mongolia,MNG,-51.20843176449209
Montenegro,MNE,-58.68469294225481
Montserrat,MSR,-70.06012855069459
Morocco,MAR,-63.68078175895765
Mozambique,MOZ,-20.576955144238788
Myanmar,MMR,-64.41191317516405
Namibia,NAM,-42.78589241182757
Nauru,NRU,-27.60269506628994
Nepal,NPL,-67.24451048373783
Netherlands,NLD,-53.930412371134025
New Caledonia,NCL,-61.41855027279812
New Zealand,NZL,-53.06869369369369
Nicaragua,NIC,-68.85268922904086
Niger,NER,-19.8174361688054
Nigeria,NGA,-30.176039881601486
Niue,NIU,-60.24667931688805
North Korea,PRK,-64.35722867440928
North Macedonia,MKD,-71.48695990657843
Northern Mariana Islands,MNP,-61.387929616839344
Norway,NOR,-44.31232659532303
Oman,OMN,-65.22517559564798
Pakistan,PAK,-46.98529411764706
Palau,PLW,-73.33985740248846
Palestine,PSE,-57.75708088798163
Panama,PAN,-61.94324712643677
Papua New Guinea,PNG,-45.73629837156365
Paraguay,PRY,-62.681047765793515
Peru,PER,-71.46562905317768
Philippines,PHL,-73.12386028896057
Poland,POL,-64.44991789819376
Portugal,PRT,-52.24825839138695
Puerto Rico,PRI,-81.92470226661544
Qatar,QAT,-73.57885085574571
Reunion,REU,-68.77782564986356
Romania,ROU,-44.31079323797139
Russia,RUS,-50.47846889952153
Rwanda,RWA,-54.63689892051029
Saint Barthelemy,BLM,-75.13194660043465
Saint Helena,SHN,-70.89485856609144
Saint Kitts and Nevis,KNA,-76.40696033861106
Saint Lucia,LCA,-78.5202492211838
Saint Martin (French part),MAF,-58.10727496917386
Saint Pierre and Miquelon,SPM,-67.15063520871144
Saint Vincent and the Grenadines,VCT,-75.63486616334934
Samoa,WSM,-49.30491195551436
San Marino,SMR,-59.26976249556895
Sao Tome and Principe,STP,-41.48064878753814
Saudi Arabia,SAU,-69.90893493467073
Senegal,SEN,-43.74539560925298
Serbia,SRB,-48.77049180327869
Seychelles,SYC,-55.65488565488565
Sierra Leone,SLE,-37.7504105090312
Singapore,SGP,-84.85140562248996
Sint Maarten (Dutch part),SXM,-72.46955859969559
Slovakia,SVK,-56.76274944567628
Slovenia,SVN,-47.326203208556144
Solomon Islands,SLB,-50.25174825174825
Somalia,SOM,-15.39735099337749
South Africa,ZAF,-63.26259946949602
South Korea,KOR,-88.12469074715487
South Sudan,SSD,-45.76080853453116
Spain,ESP,-50.89068825910932
Sri Lanka,LKA,-63.859392164042475
Sudan,SDN,-35.119315623592975
Suriname,SUR,-63.78421900161031
Sweden,SWE,-37.44531933508311
Switzerland,CHE,-40.26677782409337
Syria,SYR,-64.40010501443949
Taiwan,TWN,-86.5761456565345
Tajikistan,TJK,-45.230878944553396
Tanzania,TZA,-25.4933678421223
Thailand,THA,-80.94039943387325
Togo,TGO,-36.46559563504091
Tokelau,TKL,-48.96443923407581
Tonga,TON,-53.29153605015674
Trinidad and Tobago,TTO,-70.43612504824392
Tunisia,TUN,-72.57485029940119
Turkey,TUR,-74.87631416202845
Turkmenistan,TKM,-48.820395738203956
Turks and Caicos Islands,TCA,-75.36622326991076
Tuvalu,TUV,-40.779028982831825
Uganda,UGA,-35.66170947874417
Ukraine,UKR,-60.07355946056396
United Arab Emirates,ARE,-81.54697831769953
United Kingdom,GBR,-29.856115107913674
United States,USA,-47.37524303305249
United States Virgin Islands,VIR,-57.90533736153072
Uruguay,URY,-47.65973254086182
Uzbekistan,UZB,-32.34100135317997
Vanuatu,VUT,-48.9131978974286
Vatican,VAT,0.0
Venezuela,VEN,-68.66616428033157
Vietnam,VNM,-62.83271808820672
Wallis and Futuna,WLF,-79.70346912336261
Western Sahara,ESH,-64.00532268795742
Yemen,YEM,-42.41625893865262
Zambia,ZMB,-39.50435167428824
Zimbabwe,ZWE,-47.10978554182644
